picture,address
canvas_1667566393_0.png,"Kongevejen 50A, 6920 Videbaek, Denmark"
canvas_1667566398_1.png,"Kongevejen 50A, 6920 Videbaek, Denmark"
canvas_1667566406_0.png,"Bahnhofstraße 52, 3508 Paudorf, Austria"
canvas_1667566411_1.png,"Bahnhofstraße 52, 3508 Paudorf, Austria"
canvas_1667566419_0.png,"Pluvierstraat 37, 2000 Antwerp, Belgium"
canvas_1667566424_1.png,"Pluvierstraat 37, 2000 Antwerp, Belgium"
canvas_1667566432_0.png,"662, 5070 Elena, Bulgaria"
canvas_1667566437_1.png,"662, 5070 Elena, Bulgaria"
canvas_1667566445_0.png,"D115, 21424, Gornji Humac, Croatia"
canvas_1667566450_1.png,"D115, 21424, Gornji Humac, Croatia"
canvas_1667566458_0.png,"Poseidonos, Yeroskipou, Cyprus"
canvas_1667566464_1.png,"Poseidonos, Yeroskipou, Cyprus"
canvas_1667566471_0.png,"Těně 10, 338 45 Těně, Czech Republic"
canvas_1667566477_1.png,"Těně 10, 338 45 Těně, Czech Republic"
canvas_1667566484_0.png,"Vilgu-Väike-Maarja, Pandivere, 46224 Lääne-Viru County, Estonia"
canvas_1667566490_1.png,"Vilgu-Väike-Maarja, Pandivere, 46224 Lääne-Viru County, Estonia"
canvas_1667566497_0.png,"Kivimäentie 727-729, 79255 Leppävirta, Finland"
canvas_1667566503_1.png,"Kivimäentie 727-729, 79255 Leppävirta, Finland"
canvas_1667566511_0.png,"D18, 71240 Laives, France"
canvas_1667566516_1.png,"D18, 71240 Laives, France"
canvas_1667566524_0.png,"Borkumer Straße 47, 30163 Hanover, Germany"
canvas_1667566529_1.png,"Borkumer Straße 47, 30163 Hanover, Germany"
canvas_1667566537_0.png,"Unnamed Road, Limnos 814 00, Greece"
canvas_1667566543_1.png,"Unnamed Road, Limnos 814 00, Greece"
canvas_1667566550_0.png,"6044 Kecskemét, Helikon Street 39, Hungary"
canvas_1667566556_1.png,"6044 Kecskemét, Helikon Street 39, Hungary"
canvas_1667566563_0.png,"R697, Co. Kilkenny, Ireland"
canvas_1667566569_1.png,"R697, Co. Kilkenny, Ireland"
canvas_1667566577_0.png,"SP43, 33087 Villaraccolta-buset Pordenone, Italy"
canvas_1667566582_1.png,"SP43, 33087 Villaraccolta-buset Pordenone, Italy"
canvas_1667566590_0.png,"Mazā Medus iela 28-30, Daugavpils, LV-5413, Latvia"
canvas_1667566595_1.png,"Mazā Medus iela 28-30, Daugavpils, LV-5413, Latvia"
canvas_1667566603_0.png,"3622, 32270, Lithuania"
canvas_1667566609_1.png,"3622, 32270, Lithuania"
canvas_1667566616_0.png,"CR101, 6150 Altlinster, Luxemburg"
canvas_1667566622_1.png,"CR101, 6150 Altlinster, Luxemburg"
canvas_1667566629_0.png,"Triq Fleur - De - Lys, Birkirkara, Malta"
canvas_1667566635_1.png,"Triq Fleur - De - Lys, Birkirkara, Malta"
canvas_1667566643_0.png,"Winsumerweg, 9738 Groningen, The Netherlands"
canvas_1667566648_1.png,"Winsumerweg, 9738 Groningen, The Netherlands"
canvas_1667566656_0.png,"Pogodna, 83-111, Poland"
canvas_1667566661_1.png,"Pogodna, 83-111, Poland"
canvas_1667566669_0.png,"Av. da Aldeia Nova 367, 4770 Gavião, Portugal"
canvas_1667566675_1.png,"Av. da Aldeia Nova 367, 4770 Gavião, Portugal"
canvas_1667566682_0.png,"Strada Alexandru Ioan Cuza, Câmpina, Romania"
canvas_1667566688_1.png,"Strada Alexandru Ioan Cuza, Câmpina, Romania"
canvas_1667566696_0.png,"75, 991 41 Čelovce, Slovakia"
canvas_1667566701_1.png,"75, 991 41 Čelovce, Slovakia"
canvas_1667566709_0.png,"Stranske Makole 10, 2321 Makole, Slovenia"
canvas_1667566715_1.png,"Stranske Makole 10, 2321 Makole, Slovenia"
canvas_1667566722_0.png,"CM-4000, 63, 45600, Toledo, Spain"
canvas_1667566728_1.png,"CM-4000, 63, 45600, Toledo, Spain"
canvas_1667566735_0.png,"Högsjövägen 2, 715 95 Kilsmo, Sweden"
canvas_1667566741_1.png,"Högsjövägen 2, 715 95 Kilsmo, Sweden"
canvas_1667566749_0.png,"61 Kingfisher Avenue, Nuneaton, Warwickshire CV10, UK"
canvas_1667566754_1.png,"61 Kingfisher Avenue, Nuneaton, Warwickshire CV10, UK"
